Timestamp, Event, Value
2,613,Accelerate,1
2,629,Accelerate,1
2,645,Accelerate,1
2,663,Accelerate,1
2,679,Accelerate,1
2,696,Accelerate,1
2,712,Accelerate,1
2,729,Accelerate,1
2,745,Accelerate,1
2,762,Accelerate,1
2,779,Accelerate,1
2,796,Accelerate,1
2,812,Accelerate,1
2,829,Accelerate,1
2,846,Accelerate,1
2,862,Accelerate,1
2,879,Accelerate,1
2,895,Accelerate,1
2,912,Accelerate,1
2,929,Accelerate,1
2,946,Accelerate,1
2,962,Accelerate,1
2,979,Accelerate,1
2,995,Accelerate,1
3,012,Turn Left,1
3,012,Accelerate,1
3,029,Turn Left,1
3,034,Accelerate,1
3,045,Turn Left,1
3,045,Accelerate,1
3,062,Turn Left,1
3,062,Accelerate,1
3,078,Turn Left,1
3,078,Accelerate,1
3,096,Turn Left,1
3,096,Accelerate,1
3,112,Turn Left,1
3,112,Accelerate,1
3,129,Turn Left,1
3,129,Accelerate,1
3,145,Turn Left,1
3,145,Accelerate,1
3,161,Turn Left,1
3,161,Accelerate,1
3,178,Turn Left,1
3,178,Accelerate,1
3,196,Turn Left,1
3,197,Accelerate,1
3,212,Turn Left,1
3,213,Accelerate,1
3,230,Turn Left,1
3,230,Accelerate,1
3,245,Turn Left,1
3,246,Accelerate,1
3,263,Accelerate,1
3,279,Accelerate,1
3,295,Accelerate,1
3,312,Accelerate,1
3,329,Accelerate,1
3,346,Accelerate,1
3,363,Accelerate,1
3,379,Accelerate,1
3,396,Accelerate,1
3,413,Accelerate,1
3,429,Accelerate,1
3,446,Accelerate,1
3,462,Accelerate,1
3,479,Accelerate,1
3,495,Accelerate,1
3,513,Accelerate,1
3,529,Accelerate,1
3,546,Accelerate,1
3,563,Accelerate,1
3,579,Accelerate,1
3,596,Accelerate,1
3,612,Accelerate,1
3,628,Accelerate,1
3,645,Accelerate,1
3,662,Accelerate,1
3,678,Accelerate,1
3,695,Accelerate,1
3,712,Accelerate,1
3,728,Accelerate,1
3,746,Accelerate,1
3,763,Accelerate,1
3,780,Accelerate,1
3,795,Accelerate,1
3,812,Accelerate,1
3,830,Accelerate,1
3,846,Accelerate,1
3,863,Accelerate,1
3,879,Accelerate,1
3,896,Accelerate,1
3,913,Accelerate,1
3,930,Accelerate,1
3,946,Accelerate,1
3,962,Accelerate,1
3,979,Accelerate,1
3,997,Accelerate,1
4,013,Accelerate,1
4,030,Accelerate,1
4,046,Accelerate,1
4,063,Accelerate,1
4,079,Accelerate,1
4,096,Accelerate,1
4,112,Accelerate,1
4,129,Accelerate,1
4,146,Accelerate,1
4,162,Accelerate,1
4,179,Accelerate,1
4,196,Accelerate,1
4,212,Accelerate,1
4,229,Accelerate,1
4,245,Accelerate,1
4,262,Accelerate,1
4,278,Accelerate,1
4,296,Accelerate,1
4,311,Accelerate,1
4,329,Accelerate,1
4,346,Accelerate,1
4,362,Accelerate,1
4,379,Accelerate,1
4,395,Accelerate,1
4,412,Accelerate,1
4,429,Accelerate,1
4,446,Accelerate,1
4,462,Accelerate,1
4,479,Accelerate,1
4,495,Accelerate,1
4,512,Accelerate,1
4,529,Accelerate,1
4,545,Accelerate,1
4,563,Accelerate,1
4,579,Accelerate,1
4,595,Accelerate,1
4,613,Accelerate,1
4,629,Accelerate,1
4,646,Accelerate,1
4,661,Accelerate,1
4,678,Accelerate,1
4,695,Accelerate,1
4,711,Accelerate,1
4,729,Accelerate,1
4,746,Accelerate,1
4,761,Accelerate,1
4,778,Accelerate,1
4,795,Accelerate,1
4,812,Accelerate,1
4,829,Accelerate,1
4,845,Accelerate,1
4,863,Accelerate,1
4,879,Accelerate,1
4,896,Accelerate,1
4,912,Accelerate,1
4,929,Accelerate,1
4,945,Accelerate,1
4,963,Accelerate,1
4,979,Accelerate,1
4,996,Accelerate,1
5,013,Accelerate,1
5,028,Accelerate,1
5,046,Accelerate,1
5,063,Accelerate,1
5,078,Accelerate,1
5,095,Accelerate,1
5,112,Accelerate,1
5,129,Accelerate,1
5,146,Accelerate,1
5,163,Accelerate,1
5,179,Accelerate,1
5,195,Accelerate,1
5,212,Accelerate,1
5,229,Accelerate,1
5,246,Accelerate,1
5,263,Accelerate,1
5,278,Accelerate,1
5,295,Accelerate,1
5,312,Accelerate,1
5,329,Accelerate,1
5,345,Accelerate,1
5,362,Accelerate,1
5,378,Accelerate,1
5,396,Accelerate,1
5,412,Accelerate,1
5,429,Accelerate,1
5,445,Accelerate,1
5,462,Accelerate,1
5,479,Accelerate,1
5,495,Accelerate,1
5,513,Accelerate,1
5,529,Accelerate,1
5,545,Accelerate,1
5,562,Accelerate,1
5,579,Accelerate,1
5,596,Accelerate,1
5,612,Accelerate,1
5,629,Accelerate,1
5,646,Accelerate,1
5,663,Accelerate,1
5,679,Accelerate,1
5,696,Accelerate,1
5,712,Accelerate,1
5,729,Accelerate,1
5,745,Accelerate,1
5,762,Accelerate,1
5,779,Accelerate,1
5,796,Accelerate,1
5,812,Accelerate,1
5,829,Accelerate,1
5,846,Accelerate,1
5,861,Accelerate,1
5,879,Accelerate,1
5,895,Accelerate,1
5,912,Accelerate,1
5,929,Accelerate,1
5,945,Accelerate,1
5,962,Accelerate,1
5,979,Accelerate,1
5,995,Accelerate,1
6,012,Accelerate,1
6,029,Accelerate,1
6,046,Accelerate,1
6,062,Accelerate,1
6,079,Accelerate,1
6,095,Accelerate,1
6,113,Accelerate,1
6,129,Accelerate,1
6,146,Accelerate,1
6,163,Accelerate,1
6,179,Accelerate,1
6,196,Accelerate,1
6,212,Accelerate,1
6,229,Accelerate,1
6,246,Accelerate,1
6,262,Accelerate,1
6,279,Accelerate,1
6,296,Accelerate,1
6,313,Accelerate,1
6,329,Accelerate,1
6,345,Accelerate,1
6,362,Accelerate,1
6,379,Accelerate,1
6,396,Accelerate,1
6,412,Accelerate,1
6,429,Accelerate,1
6,446,Accelerate,1
6,462,Accelerate,1
6,480,Accelerate,1
6,495,Accelerate,1
6,512,Accelerate,1
6,529,Accelerate,1
6,546,Accelerate,1
6,562,Accelerate,1
6,578,Accelerate,1
6,596,Accelerate,1
6,612,Accelerate,1
6,629,Accelerate,1
6,646,Accelerate,1
6,663,Accelerate,1
6,679,Accelerate,1
6,695,Accelerate,1
6,713,Accelerate,1
6,729,Accelerate,1
6,746,Accelerate,1
6,763,Accelerate,1
6,778,Accelerate,1
6,795,Accelerate,1
6,813,Accelerate,1
6,829,Accelerate,1
6,846,Accelerate,1
6,862,Accelerate,1
6,879,Accelerate,1
6,895,Accelerate,1
6,912,Accelerate,1
6,929,Accelerate,1
6,945,Accelerate,1
6,962,Accelerate,1
6,979,Accelerate,1
6,995,Accelerate,1
7,012,Accelerate,1
7,029,Accelerate,1
7,046,Accelerate,1
7,063,Accelerate,1
7,079,Accelerate,1
7,096,Accelerate,1
7,112,Accelerate,1
7,128,Accelerate,1
7,146,Accelerate,1
7,161,Accelerate,1
7,179,Accelerate,1
7,195,Accelerate,1
7,212,Accelerate,1
7,229,Accelerate,1
7,245,Accelerate,1
7,262,Accelerate,1
7,279,Accelerate,1
7,295,Accelerate,1
7,312,Accelerate,1
7,329,Accelerate,1
7,346,Accelerate,1
7,363,Accelerate,1
7,379,Accelerate,1
7,396,Accelerate,1
7,412,Accelerate,1
7,429,Accelerate,1
7,445,Accelerate,1
7,462,Accelerate,1
7,479,Accelerate,1
7,495,Accelerate,1
7,512,Accelerate,1
7,529,Accelerate,1
7,545,Accelerate,1
7,562,Accelerate,1
7,579,Accelerate,1
7,596,Accelerate,1
7,611,Accelerate,1
7,629,Accelerate,1
7,646,Accelerate,1
7,663,Accelerate,1
7,679,Accelerate,1
7,695,Accelerate,1
7,712,Accelerate,1
7,729,Accelerate,1
7,745,Accelerate,1
7,761,Accelerate,1
7,779,Accelerate,1
7,796,Accelerate,1
7,812,Accelerate,1
7,828,Accelerate,1
7,845,Accelerate,1
7,862,Accelerate,1
7,879,Accelerate,1
7,895,Accelerate,1
