Timestamp, Event, Value
3,615,Accelerate,1
3,632,Accelerate,1
3,648,Accelerate,1
3,664,Accelerate,1
3,682,Accelerate,1
3,699,Accelerate,1
3,715,Accelerate,1
3,732,Accelerate,1
3,749,Accelerate,1
3,765,Accelerate,1
3,782,Accelerate,1
3,798,Accelerate,1
3,815,Accelerate,1
3,832,Accelerate,1
3,849,Accelerate,1
3,865,Accelerate,1
3,882,Accelerate,1
3,899,Accelerate,1
3,915,Accelerate,1
3,932,Accelerate,1
3,948,Accelerate,1
3,965,Accelerate,1
3,982,Accelerate,1
3,997,Accelerate,1
4,015,Accelerate,1
4,031,Accelerate,1
4,048,Accelerate,1
4,065,Accelerate,1
4,081,Accelerate,1
4,098,Accelerate,1
4,115,Accelerate,1
4,132,Accelerate,1
4,148,Accelerate,1
4,166,Accelerate,1
4,182,Accelerate,1
4,199,Accelerate,1
4,216,Accelerate,1
4,231,Accelerate,1
4,249,Accelerate,1
4,266,Accelerate,1
4,282,Accelerate,1
4,298,Accelerate,1
4,315,Accelerate,1
4,332,Accelerate,1
4,348,Accelerate,1
4,365,Accelerate,1
4,382,Accelerate,1
4,398,Accelerate,1
4,414,Accelerate,1
4,432,Accelerate,1
4,449,Turn Right,1
4,449,Accelerate,1
4,464,Turn Right,1
4,464,Accelerate,1
4,482,Turn Right,1
4,482,Accelerate,1
4,498,Turn Right,1
4,498,Accelerate,1
4,515,Turn Right,1
4,515,Accelerate,1
4,531,Turn Right,1
4,531,Accelerate,1
4,548,Turn Right,1
4,548,Accelerate,1
4,565,Turn Right,1
4,565,Accelerate,1
4,582,Turn Right,1
4,582,Accelerate,1
4,598,Turn Right,1
4,598,Accelerate,1
4,616,Turn Right,1
4,616,Accelerate,1
4,631,Turn Right,1
4,632,Accelerate,1
4,648,Turn Right,1
4,649,Accelerate,1
4,665,Accelerate,1
4,682,Accelerate,1
4,699,Accelerate,1
4,714,Accelerate,1
4,731,Accelerate,1
4,749,Accelerate,1
4,765,Accelerate,1
4,782,Accelerate,1
4,799,Accelerate,1
4,815,Accelerate,1
4,832,Accelerate,1
4,849,Accelerate,1
4,866,Accelerate,1
4,881,Accelerate,1
4,898,Accelerate,1
4,915,Accelerate,1
4,931,Accelerate,1
4,949,Accelerate,1
4,965,Accelerate,1
4,982,Accelerate,1
4,999,Accelerate,1
5,014,Accelerate,1
5,031,Accelerate,1
5,048,Accelerate,1
5,064,Accelerate,1
5,082,Accelerate,1
5,098,Accelerate,1
5,115,Accelerate,1
5,132,Accelerate,1
5,148,Accelerate,1
5,165,Accelerate,1
5,181,Accelerate,1
5,198,Accelerate,1
5,215,Accelerate,1
5,231,Accelerate,1
5,248,Accelerate,1
5,266,Accelerate,1
5,281,Accelerate,1
5,298,Accelerate,1
5,315,Accelerate,1
5,331,Accelerate,1
5,348,Accelerate,1
5,365,Accelerate,1
5,382,Accelerate,1
5,399,Accelerate,1
5,415,Accelerate,1
5,431,Accelerate,1
5,448,Accelerate,1
5,465,Accelerate,1
5,481,Accelerate,1
5,498,Accelerate,1
5,515,Accelerate,1
5,531,Accelerate,1
5,548,Accelerate,1
5,565,Accelerate,1
5,581,Accelerate,1
5,599,Accelerate,1
5,615,Accelerate,1
5,631,Accelerate,1
5,648,Accelerate,1
5,665,Accelerate,1
5,682,Accelerate,1
5,698,Accelerate,1
5,715,Accelerate,1
5,732,Accelerate,1
