Timestamp, Event, Value
0.565,Accelerate,1
0.581,Accelerate,1
0.598,Accelerate,1
0.614,Accelerate,1
0.631,Accelerate,1
0.648,Accelerate,1
0.664,Accelerate,1
0.681,Accelerate,1
0.699,Accelerate,1
0.714,Accelerate,1
0.731,Accelerate,1
0.748,Accelerate,1
0.764,Accelerate,1
0.781,Accelerate,1
0.798,Accelerate,1
0.815,Accelerate,1
0.831,Accelerate,1
0.848,Accelerate,1
0.865,Accelerate,1
0.881,Accelerate,1
0.898,Accelerate,1
0.914,Accelerate,1
0.931,Accelerate,1
0.948,Accelerate,1
0.965,Accelerate,1
0.980,Accelerate,1
0.997,Accelerate,1
1.015,Accelerate,1
1.031,Accelerate,1
1.048,Accelerate,1
1.065,Accelerate,1
1.082,Accelerate,1
1.098,Accelerate,1
1.114,Accelerate,1
1.131,Accelerate,1
1.148,Accelerate,1
1.165,Accelerate,1
1.181,Accelerate,1
1.198,Accelerate,1
1.214,Accelerate,1
1.232,Accelerate,1
1.249,Accelerate,1
1.265,Bullet Fired,1
1.265,Accelerate,1
1.282,Accelerate,1
1.298,Accelerate,1
1.314,Accelerate,1
1.331,Accelerate,1
1.348,Accelerate,1
1.365,Bullet Fired,1
1.365,Accelerate,1
1.381,Accelerate,1
1.398,Accelerate,1
1.414,Accelerate,1
1.431,Accelerate,1
1.449,Accelerate,1
1.465,Bullet Fired,1
1.465,Accelerate,1
1.481,Accelerate,1
1.498,Accelerate,1
1.515,Accelerate,1
1.531,Accelerate,1
1.548,Accelerate,1
1.565,Bullet Fired,1
1.565,Accelerate,1
1.582,Accelerate,1
1.598,Accelerate,1
1.615,Accelerate,1
1.632,Accelerate,1
1.648,Accelerate,1
1.665,Bullet Fired,1
1.665,Accelerate,1
1.682,Accelerate,1
1.697,Accelerate,1
1.716,Accelerate,1
1.731,Accelerate,1
1.747,Accelerate,1
1.765,Bullet Fired,1
1.765,Accelerate,1
1.781,Accelerate,1
1.798,Accelerate,1
1.815,Accelerate,1
1.831,Accelerate,1
1.848,Accelerate,1
1.864,Bullet Fired,1
1.864,Accelerate,1
1.882,Accelerate,1
1.897,Accelerate,1
1.915,Accelerate,1
1.932,Accelerate,1
1.947,Accelerate,1
1.964,Bullet Fired,1
1.964,Accelerate,1
1.981,Accelerate,1
1.997,Accelerate,1
2.016,Accelerate,1
2.031,Accelerate,1
2.048,Accelerate,1
2.065,Bullet Fired,1
2.065,Accelerate,1
2.081,Accelerate,1
