Timestamp, Event, Value
0.315,Turn Right,1
0.333,Turn Right,1
0.349,Turn Right,1
0.365,Turn Right,1
0.381,Turn Right,1
0.398,Turn Right,1
0.415,Accelerate,1
0.431,Accelerate,1
0.448,Accelerate,1
0.464,Accelerate,1
0.481,Accelerate,1
0.498,Accelerate,1
0.515,Accelerate,1
0.532,Accelerate,1
0.548,Accelerate,1
0.565,Accelerate,1
0.581,Accelerate,1
0.598,Accelerate,1
0.615,Turn Left,1
0.615,Accelerate,1
0.632,Turn Left,1
0.632,Accelerate,1
0.648,Turn Left,1
0.649,Accelerate,1
0.664,Turn Left,1
0.664,Accelerate,1
0.682,Turn Left,1
0.682,Accelerate,1
0.699,Turn Left,1
0.699,Accelerate,1
0.714,Turn Left,1
0.715,Accelerate,1
0.731,Turn Left,1
0.732,Accelerate,1
0.748,Turn Left,1
0.748,Accelerate,1
0.764,Turn Left,1
0.764,Accelerate,1
0.781,Turn Left,1
0.781,Accelerate,1
0.798,Turn Left,1
0.798,Accelerate,1
0.814,Turn Left,1
0.814,Accelerate,1
0.831,Turn Left,1
0.831,Accelerate,1
0.848,Accelerate,1
0.864,Accelerate,1
1.765,Turn Left,1
1.781,Turn Left,1
1.799,Turn Left,1
1.815,Turn Left,1
1.832,Turn Left,1
1.848,Turn Left,1
1.864,Turn Left,1
1.882,Turn Left,1
1.898,Turn Left,1
1.914,Turn Left,1
1.931,Turn Left,1
1.949,Turn Left,1
1.949,Accelerate,1
1.965,Turn Left,1
1.965,Accelerate,1
1.981,Turn Left,1
1.981,Accelerate,1
1.998,Turn Left,1
1.998,Accelerate,1
2.014,Turn Left,1
2.014,Accelerate,1
2.032,Accelerate,1
2.048,Accelerate,1
2.065,Accelerate,1
2.081,Accelerate,1
2.098,Accelerate,1
2.114,Accelerate,1
2.131,Accelerate,1
2.148,Accelerate,1
2.164,Accelerate,1
2.181,Accelerate,1
2.198,Accelerate,1
2.214,Accelerate,1
2.232,Accelerate,1
2.249,Accelerate,1
2.265,Accelerate,1
2.283,Turn Right,1
2.283,Accelerate,1
2.298,Turn Right,1
2.298,Accelerate,1
2.314,Turn Right,1
2.314,Accelerate,1
2.331,Turn Right,1
2.331,Accelerate,1
2.348,Turn Right,1
2.348,Accelerate,1
2.365,Turn Right,1
2.365,Accelerate,1
2.381,Turn Right,1
2.381,Accelerate,1
2.398,Turn Right,1
2.398,Accelerate,1
2.416,Turn Right,1
2.416,Accelerate,1
2.432,Turn Right,1
2.432,Accelerate,1
2.449,Turn Right,1
2.449,Accelerate,1
2.465,Turn Right,1
2.465,Accelerate,1
2.482,Turn Right,1
2.482,Accelerate,1
2.498,Turn Right,1
2.498,Accelerate,1
2.515,Accelerate,1
2.532,Accelerate,1
2.548,Accelerate,1
2.565,Accelerate,1
2.581,Accelerate,1
2.598,Accelerate,1
2.615,Accelerate,1
2.631,Accelerate,1
2.648,Accelerate,1
2.665,Accelerate,1
2.681,Accelerate,1
2.698,Accelerate,1
2.715,Accelerate,1
2.731,Accelerate,1
2.748,Accelerate,1
2.765,Accelerate,1
2.782,Accelerate,1
2.798,Accelerate,1
2.814,Accelerate,1
2.831,Accelerate,1
2.848,Accelerate,1
2.864,Accelerate,1
2.881,Accelerate,1
2.898,Accelerate,1
2.914,Accelerate,1
2.932,Accelerate,1
2.949,Accelerate,1
2.965,Accelerate,1
2.982,Accelerate,1
2.999,Turn Right,1
2.999,Accelerate,1
3.015,Turn Right,1
3.015,Accelerate,1
3.032,Turn Right,1
3.032,Accelerate,1
3.048,Accelerate,1
3.065,Accelerate,1
3.082,Accelerate,1
3.099,Accelerate,1
3.115,Accelerate,1
3.132,Accelerate,1
3.148,Accelerate,1
3.164,Accelerate,1
3.181,Accelerate,1
3.198,Accelerate,1
3.216,Accelerate,1
3.231,Accelerate,1
3.249,Accelerate,1
3.266,Accelerate,1
3.282,Accelerate,1
3.298,Accelerate,1
3.316,Accelerate,1
3.331,Accelerate,1
3.348,Accelerate,1
3.364,Accelerate,1
3.381,Accelerate,1
3.398,Accelerate,1
3.414,Accelerate,1
3.431,Accelerate,1
3.448,Accelerate,1
3.464,Accelerate,1
3.481,Accelerate,1
3.498,Accelerate,1
3.514,Accelerate,1
3.531,Accelerate,1
