Timestamp, Event, Value
1.460,Damage taken,0.025000002
1.477,Damage taken,0.025000002
1.492,Damage taken,0.025000002
1.509,Damage taken,0.025000002
1.526,Damage taken,0.025000002
1.543,Damage taken,0.025000002
1.560,Damage taken,0.025000002
1.560,Turn Right,1
1.576,Damage taken,0.025000002
1.576,Turn Right,1
1.593,Damage taken,0.025000002
1.593,Turn Right,1
1.609,Damage taken,0.025000002
1.609,Turn Right,1
1.627,Damage taken,0.025000002
1.627,Turn Right,1
1.643,Damage taken,0.025000002
1.643,Turn Right,1
1.643,Accelerate,1
1.659,Damage taken,0.025000002
1.659,Turn Right,1
1.659,Accelerate,1
1.676,Damage taken,0.025000002
1.676,Turn Right,1
1.676,Accelerate,1
1.693,Damage taken,0.025000002
1.693,Turn Right,1
1.693,Accelerate,1
1.710,Damage taken,0.025000002
1.710,Accelerate,1
1.726,Damage taken,0.025000002
1.726,Accelerate,1
1.744,Damage taken,0.025000002
1.744,Accelerate,1
1.761,Damage taken,0.025000002
1.761,Accelerate,1
1.777,Damage taken,0.025000002
1.777,Accelerate,1
1.793,Damage taken,0.025000002
1.793,Accelerate,1
1.811,Damage taken,0.025000002
1.811,Accelerate,1
1.827,Damage taken,0.025000002
1.827,Accelerate,1
1.844,Damage taken,0.025000002
1.844,Accelerate,1
1.860,Damage taken,0.025000002
1.860,Accelerate,1
1.876,Damage taken,0.025000002
1.876,Accelerate,1
1.892,Damage taken,0.025000002
1.892,Accelerate,1
1.909,Damage taken,0.025000002
1.909,Accelerate,1
1.926,Damage taken,0.025000002
1.926,Accelerate,1
1.943,Damage taken,0.025000002
1.959,Damage taken,0.025000002
1.975,Damage taken,0.025000002
1.992,Damage taken,0.025000002
2.009,Damage taken,0.025000002
2.028,Damage taken,0.025000002
2.043,Damage taken,0.025000002
2.059,Damage taken,0.025000002
2.077,Damage taken,0.025000002
2.093,Damage taken,0.025000002
2.110,Damage taken,0.025000002
2.126,Damage taken,0.025000002
2.143,Damage taken,0.025000002
2.160,Damage taken,0.025000002
2.176,Damage taken,0.025000002
2.193,Damage taken,0.025000002
2.210,Damage taken,0.025000002
2.227,Damage taken,0.025000002
2.243,Damage taken,0.025000002
2.260,Damage taken,0.025000002
2.260,Accelerate,1
2.277,Damage taken,0.025000002
2.277,Accelerate,1
2.293,Damage taken,0.025000002
2.293,Accelerate,1
2.309,Damage taken,0.025000002
2.309,Accelerate,1
2.326,Damage taken,0.025000002
2.326,Accelerate,1
2.343,Damage taken,0.025000002
2.343,Accelerate,1
2.359,Damage taken,0.025000002
2.359,Accelerate,1
2.376,Damage taken,0.025000002
2.376,Accelerate,1
2.393,Damage taken,0.025000002
2.393,Accelerate,1
2.409,Damage taken,0.025000002
2.409,Accelerate,1
2.426,Damage taken,0.025000002
2.426,Accelerate,1
2.443,Damage taken,0.025000002
2.443,Accelerate,1
2.460,Damage taken,0.025000002
2.460,Accelerate,1
2.476,Damage taken,0.025000002
2.476,Accelerate,1
2.492,Damage taken,0.025000002
2.493,Accelerate,1
2.509,Damage taken,0.025000002
2.509,Accelerate,1
2.525,Damage taken,0.025000002
2.525,Accelerate,1
2.542,Damage taken,0.025000002
2.542,Accelerate,1
2.559,Damage taken,0.025000002
2.559,Accelerate,1
2.576,Damage taken,0.025000002
2.576,Accelerate,1
2.593,Damage taken,0.025000002
2.593,Accelerate,1
2.609,Damage taken,0.025000002
2.609,Accelerate,1
2.626,Damage taken,0.025000002
2.626,Accelerate,1
2.643,Damage taken,0.025000002
2.643,Accelerate,1
2.659,Accelerate,1
2.676,Accelerate,1
2.693,Accelerate,1
2.709,Accelerate,1
2.726,Accelerate,1
2.993,Turn Left,1
3.009,Turn Left,1
3.026,Turn Left,1
3.042,Turn Left,1
3.059,Turn Left,1
3.075,Turn Left,1
3.093,Turn Left,1
3.110,Turn Left,1
3.127,Turn Left,1
3.144,Turn Left,1
3.144,Accelerate,1
3.160,Turn Left,1
3.160,Accelerate,1
3.177,Turn Left,1
3.177,Accelerate,1
3.193,Turn Left,1
3.193,Accelerate,1
3.209,Turn Left,1
3.209,Accelerate,1
3.226,Turn Left,1
3.226,Accelerate,1
3.243,Turn Left,1
3.243,Accelerate,1
3.265,Bullet Fired,1
3.265,Turn Left,1
3.265,Accelerate,1
3.281,Accelerate,1
3.293,Accelerate,1
3.310,Accelerate,1
3.326,Accelerate,1
3.343,Accelerate,1
3.360,Bullet Fired,1
3.360,Accelerate,1
3.377,Accelerate,1
3.393,Accelerate,1
3.409,Accelerate,1
3.426,Accelerate,1
3.776,Accelerate,1
3.795,Accelerate,1
3.809,Accelerate,1
3.826,Accelerate,1
3.843,Accelerate,1
3.859,Accelerate,1
3.876,Accelerate,1
3.893,Accelerate,1
3.909,Accelerate,1
3.927,Accelerate,1
3.944,Accelerate,1
3.960,Accelerate,1
3.976,Accelerate,1
3.993,Accelerate,1
4.010,Accelerate,1
4.026,Accelerate,1
4.043,Accelerate,1
4.060,Accelerate,1
4.643,Bullet Missed,1
4.777,Bullet Missed,1
5.075,Accelerate,1
5.092,Accelerate,1
5.109,Accelerate,1
5.126,Accelerate,1
5.142,Accelerate,1
5.159,Accelerate,1
5.176,Accelerate,1
5.193,Accelerate,1
5.209,Accelerate,1
5.226,Accelerate,1
5.243,Accelerate,1
5.260,Accelerate,1
5.276,Accelerate,1
5.293,Accelerate,1
5.309,Accelerate,1
5.326,Accelerate,1
5.342,Accelerate,1
5.359,Accelerate,1
5.375,Accelerate,1
5.392,Accelerate,1
5.409,Accelerate,1
5.426,Accelerate,1
5.442,Accelerate,1
5.459,Accelerate,1
5.476,Accelerate,1
5.493,Accelerate,1
5.509,Accelerate,1
5.526,Accelerate,1
5.543,Accelerate,1
5.559,Accelerate,1
5.576,Accelerate,1
5.593,Accelerate,1
5.609,Accelerate,1
5.626,Accelerate,1
5.643,Accelerate,1
5.659,Accelerate,1
5.676,Accelerate,1
5.693,Accelerate,1
5.709,Accelerate,1
5.726,Accelerate,1
5.743,Turn Right,1
5.743,Accelerate,1
5.760,Turn Right,1
5.760,Accelerate,1
5.776,Turn Right,1
5.776,Accelerate,1
5.795,Turn Right,1
5.795,Accelerate,1
5.810,Turn Right,1
5.810,Accelerate,1
5.827,Turn Right,1
5.827,Accelerate,1
5.842,Turn Right,1
5.842,Accelerate,1
5.860,Turn Right,1
5.860,Accelerate,1
5.876,Turn Right,1
5.876,Accelerate,1
5.892,Turn Right,1
5.892,Accelerate,1
5.910,Turn Right,1
5.910,Accelerate,1
5.926,Turn Right,1
5.926,Accelerate,1
5.943,Turn Right,1
5.943,Accelerate,1
5.959,Turn Right,1
5.959,Accelerate,1
5.976,Turn Right,1
5.976,Accelerate,1
5.993,Turn Right,1
5.993,Accelerate,1
6.010,Turn Right,1
6.010,Accelerate,1
6.026,Turn Right,1
6.026,Accelerate,1
6.045,Turn Right,1
6.060,Turn Right,1
6.077,Turn Right,1
6.093,Turn Right,1
6.109,Turn Right,1
6.127,Turn Right,1
6.144,Turn Right,1
6.160,Turn Right,1
6.176,Turn Right,1
6.193,Turn Right,1
6.211,Turn Right,1
6.227,Turn Right,1
6.244,Turn Right,1
6.259,Turn Right,1
6.276,Turn Right,1
6.293,Turn Right,1
6.310,Turn Right,1
6.326,Turn Right,1
6.344,Turn Right,1
6.359,Turn Right,1
6.376,Turn Right,1
6.394,Turn Left,1
6.409,Turn Left,1
6.427,Turn Left,1
6.443,Turn Left,1
6.459,Turn Left,1
6.477,Turn Left,1
6.496,Turn Right,1
6.510,Turn Right,1
6.510,Accelerate,1
6.527,Turn Right,1
6.527,Accelerate,1
6.543,Turn Right,1
6.543,Accelerate,1
6.560,Turn Right,1
6.560,Accelerate,1
6.576,Turn Right,1
6.576,Accelerate,1
6.593,Turn Right,1
6.593,Accelerate,1
6.610,Turn Right,1
6.610,Accelerate,1
6.628,Turn Right,1
6.628,Accelerate,1
6.644,Turn Right,1
6.644,Accelerate,1
6.660,Turn Right,1
6.660,Accelerate,1
6.677,Turn Right,1
6.677,Accelerate,1
6.694,Turn Right,1
6.694,Accelerate,1
6.709,Turn Right,1
6.709,Accelerate,1
6.727,Turn Right,1
6.727,Accelerate,1
6.743,Turn Right,1
6.743,Accelerate,1
6.760,Turn Right,1
6.777,Turn Right,1
6.794,Turn Right,1
6.810,Turn Right,1
6.826,Turn Right,1
6.843,Turn Right,1
6.859,Turn Right,1
6.877,Turn Right,1
6.894,Turn Right,1
6.909,Turn Right,1
6.926,Bullet Fired,1
6.926,Turn Right,1
6.926,Accelerate,1
6.942,Turn Right,1
6.942,Accelerate,1
6.960,Accelerate,1
6.975,Accelerate,1
6.992,Accelerate,1
7.010,Turn Left,1
7.010,Accelerate,1
7.026,Bullet Fired,1
7.026,Turn Left,1
7.026,Accelerate,1
7.042,Turn Left,1
7.042,Accelerate,1
7.059,Turn Left,1
7.059,Accelerate,1
7.075,Turn Left,1
7.075,Accelerate,1
7.092,Turn Left,1
7.092,Accelerate,1
7.109,Turn Left,1
7.109,Accelerate,1
7.126,Bullet Fired,1
7.126,Turn Left,1
7.126,Accelerate,1
7.142,Turn Left,1
7.142,Accelerate,1
7.159,Turn Left,1
7.159,Accelerate,1
7.176,Turn Left,1
7.176,Accelerate,1
7.193,Turn Left,1
7.193,Accelerate,1
7.209,Turn Left,1
7.209,Accelerate,1
7.226,Bullet Fired,1
7.226,Turn Left,1
7.226,Accelerate,1
7.242,Turn Left,1
7.242,Accelerate,1
7.259,Turn Left,1
7.259,Accelerate,1
7.276,Turn Left,1
7.276,Accelerate,1
7.293,Turn Left,1
7.293,Accelerate,1
7.310,Turn Left,1
7.310,Accelerate,1
7.326,Bullet Fired,1
7.326,Turn Left,1
7.326,Accelerate,1
7.343,Turn Left,1
7.343,Accelerate,1
7.360,Turn Left,1
7.360,Accelerate,1
7.375,Turn Left,1
7.375,Accelerate,1
7.392,Turn Left,1
7.392,Accelerate,1
7.409,Turn Left,1
7.409,Accelerate,1
7.426,Turn Left,1
7.426,Accelerate,1
7.442,Turn Left,1
7.442,Accelerate,1
7.459,Turn Left,1
7.459,Accelerate,1
7.476,Turn Left,1
7.476,Accelerate,1
7.493,Turn Left,1
7.493,Accelerate,1
7.509,Turn Left,1
7.509,Accelerate,1
7.526,Turn Left,1
7.526,Accelerate,1
7.543,Turn Left,1
7.543,Accelerate,1
7.559,Turn Left,1
7.560,Accelerate,1
7.575,Turn Left,1
7.575,Accelerate,1
7.592,Turn Left,1
7.592,Accelerate,1
7.609,Turn Left,1
