Timestamp, Event, Value
1.288,Turn Left,1
1.304,Turn Left,1
1.321,Turn Left,1
1.338,Turn Left,1
1.355,Turn Left,1
1.374,Bullet Fired,1
1.374,Turn Left,1
1.390,Turn Left,1
1.404,Turn Left,1
1.421,Turn Left,1
1.437,Turn Left,1
1.454,Turn Left,1
1.455,Accelerate,1
1.470,Damage taken,0.025000002
1.471,Bullet Fired,1
1.471,Turn Left,1
1.471,Accelerate,1
1.488,Bullet Missed,1
1.488,Damage taken,0.025000002
1.488,Turn Left,1
1.488,Accelerate,1
1.505,Damage taken,0.025000002
1.505,Turn Left,1
1.505,Accelerate,1
1.521,Damage taken,0.025000002
1.521,Turn Left,1
1.521,Accelerate,1
1.538,Damage taken,0.025000002
1.538,Turn Left,1
1.538,Accelerate,1
1.554,Damage taken,0.025000002
1.554,Turn Left,1
1.554,Accelerate,1
1.572,Damage taken,0.025000002
1.573,Bullet Fired,1
1.573,Turn Left,1
1.573,Accelerate,1
1.588,Bullet Missed,1
1.588,Damage taken,0.025000002
1.588,Turn Left,1
1.588,Accelerate,1
1.604,Damage taken,0.025000002
1.604,Turn Left,1
1.604,Accelerate,1
1.621,Damage taken,0.025000002
1.622,Turn Left,1
1.622,Accelerate,1
1.638,Damage taken,0.025000002
1.638,Turn Left,1
1.638,Accelerate,1
1.655,Damage taken,0.025000002
1.655,Turn Right,1
1.655,Accelerate,1
1.670,Damage taken,0.025000002
1.670,Turn Right,1
1.670,Accelerate,1
1.688,Damage taken,0.025000002
1.688,Turn Right,1
1.688,Accelerate,1
1.704,Damage taken,0.025000002
1.704,Turn Right,1
1.704,Accelerate,1
1.721,Damage taken,0.025000002
1.721,Turn Right,1
1.721,Accelerate,1
1.737,Damage taken,0.025000002
1.737,Turn Right,1
1.737,Accelerate,1
1.755,Damage taken,0.025000002
1.755,Turn Right,1
1.755,Accelerate,1
1.771,Damage taken,0.025000002
1.771,Turn Right,1
1.771,Accelerate,1
1.788,Damage taken,0.025000002
1.788,Turn Right,1
1.788,Accelerate,1
1.805,Damage taken,0.025000002
1.805,Turn Right,1
1.821,Damage taken,0.025000002
1.821,Turn Right,1
1.837,Damage taken,0.025000002
1.837,Turn Right,1
1.855,Damage taken,0.025000002
1.871,Damage taken,0.025000002
1.888,Damage taken,0.025000002
1.904,Damage taken,0.025000002
1.920,Damage taken,0.025000002
1.938,Damage taken,0.025000002
1.954,Damage taken,0.025000002
1.971,Damage taken,0.025000002
1.988,Damage taken,0.025000002
2.004,Damage taken,0.025000002
2.021,Damage taken,0.025000002
2.037,Damage taken,0.025000002
2.054,Damage taken,0.025000002
2.072,Damage taken,0.025000002
2.087,Damage taken,0.025000002
2.104,Damage taken,0.025000002
2.121,Damage taken,0.025000002
2.138,Damage taken,0.025000002
2.154,Damage taken,0.025000002
2.170,Damage taken,0.025000002
2.188,Damage taken,0.025000002
2.188,Accelerate,1
2.205,Damage taken,0.025000002
2.205,Accelerate,1
2.220,Damage taken,0.025000002
2.220,Accelerate,1
2.238,Damage taken,0.025000002
2.238,Accelerate,1
2.254,Damage taken,0.025000002
2.254,Accelerate,1
2.271,Damage taken,0.025000002
2.271,Turn Right,1
2.271,Accelerate,1
2.288,Damage taken,0.025000002
2.288,Turn Right,1
2.288,Accelerate,1
2.303,Damage taken,0.025000002
2.303,Turn Right,1
2.303,Accelerate,1
2.321,Damage taken,0.025000002
2.321,Turn Right,1
2.321,Accelerate,1
2.338,Damage taken,0.025000002
2.338,Turn Right,1
2.338,Accelerate,1
2.354,Damage taken,0.025000002
2.354,Turn Right,1
2.354,Accelerate,1
2.371,Damage taken,0.025000002
2.371,Turn Right,1
2.371,Accelerate,1
2.387,Damage taken,0.025000002
2.387,Turn Right,1
2.387,Accelerate,1
2.405,Damage taken,0.025000002
2.405,Turn Right,1
2.405,Accelerate,1
2.421,Damage taken,0.025000002
2.421,Turn Right,1
2.421,Accelerate,1
2.437,Damage taken,0.025000002
2.437,Turn Right,1
2.437,Accelerate,1
2.455,Damage taken,0.025000002
2.455,Turn Right,1
2.455,Accelerate,1
2.471,Damage taken,0.025000002
2.471,Turn Right,1
2.471,Accelerate,1
2.488,Damage taken,0.025000002
2.488,Turn Right,1
2.488,Accelerate,1
2.504,Damage taken,0.025000002
2.504,Turn Right,1
2.505,Accelerate,1
2.521,Damage taken,0.025000002
2.521,Turn Right,1
2.521,Accelerate,1
2.538,Damage taken,0.025000002
2.538,Turn Right,1
2.538,Accelerate,1
2.554,Damage taken,0.025000002
2.554,Turn Right,1
2.554,Accelerate,1
2.571,Damage taken,0.025000002
2.571,Turn Right,1
2.571,Accelerate,1
2.587,Damage taken,0.025000002
2.587,Turn Right,1
2.587,Accelerate,1
2.605,Damage taken,0.025000002
2.605,Turn Right,1
2.605,Accelerate,1
2.621,Damage taken,0.025000002
2.621,Turn Right,1
2.621,Accelerate,1
2.638,Damage taken,0.025000002
2.638,Turn Right,1
2.638,Accelerate,1
2.655,Damage taken,0.025000002
2.655,Turn Right,1
2.655,Accelerate,1
2.671,Damage taken,0.025000002
2.671,Turn Right,1
2.671,Accelerate,1
2.688,Damage taken,0.025000002
2.688,Turn Right,1
2.688,Accelerate,1
2.704,Damage taken,0.025000002
2.704,Turn Right,1
2.704,Accelerate,1
2.721,Damage taken,0.025000002
2.721,Turn Right,1
2.721,Accelerate,1
2.737,Damage taken,0.025000002
2.737,Turn Right,1
2.737,Accelerate,1
2.754,Damage taken,0.025000002
2.755,Turn Right,1
2.755,Accelerate,1
2.771,Damage taken,0.025000002
2.771,Turn Right,1
2.771,Accelerate,1
2.787,Damage taken,0.025000002
2.787,Turn Right,1
2.787,Accelerate,1
2.804,Damage taken,0.025000002
2.804,Turn Right,1
2.804,Accelerate,1
2.821,Damage taken,0.025000002
2.821,Turn Right,1
2.821,Accelerate,1
2.837,Damage taken,0.025000002
2.837,Turn Right,1
2.837,Accelerate,1
2.854,Damage taken,0.025000002
2.854,Turn Right,1
2.854,Accelerate,1
2.871,Damage taken,0.025000002
2.871,Turn Right,1
2.871,Accelerate,1
2.888,Damage taken,0.025000002
2.888,Turn Right,1
2.888,Accelerate,1
2.904,Damage taken,0.025000002
2.905,Turn Right,1
2.905,Accelerate,1
2.921,Damage taken,0.025000002
2.921,Turn Right,1
2.921,Accelerate,1
2.937,Damage taken,0.025000002
2.937,Turn Right,1
2.937,Accelerate,1
2.955,Damage taken,0.025000002
2.955,Accelerate,1
2.971,Damage taken,0.025000002
2.971,Accelerate,1
2.987,Damage taken,0.025000002
2.987,Accelerate,1
3.005,Damage taken,0.025000002
3.005,Accelerate,1
3.021,Damage taken,0.025000002
3.021,Accelerate,1
3.037,Damage taken,0.025000002
3.037,Accelerate,1
3.054,Damage taken,0.025000002
3.054,Accelerate,1
3.070,Damage taken,0.025000002
3.070,Accelerate,1
3.087,Damage taken,0.025000002
3.087,Accelerate,1
3.104,Damage taken,0.025000002
3.105,Accelerate,1
3.121,Damage taken,0.025000002
3.121,Accelerate,1
3.138,Damage taken,0.025000002
3.138,Accelerate,1
3.155,Damage taken,0.025000002
3.155,Accelerate,1
3.171,Damage taken,0.025000002
3.171,Accelerate,1
3.188,Damage taken,0.025000002
3.188,Accelerate,1
3.204,Damage taken,0.025000002
3.204,Bullet Fired,1
3.204,Accelerate,1
3.220,Bullet Missed,1
3.220,Damage taken,0.025000002
3.220,Accelerate,1
3.237,Damage taken,0.025000002
3.238,Accelerate,1
3.254,Damage taken,0.025000002
3.254,Accelerate,1
3.272,Damage taken,0.025000002
3.288,Damage taken,0.025000002
3.305,Damage taken,0.025000002
3.305,Bullet Fired,1
3.321,Bullet Missed,1
3.321,Damage taken,0.025000002
3.337,Damage taken,0.025000002
3.355,Damage taken,0.025000002
3.371,Damage taken,0.025000002
3.387,Damage taken,0.025000002
3.404,Damage taken,0.025000002
3.405,Bullet Fired,1
3.421,Bullet Missed,1
3.421,Bullet Missed,1
