Timestamp, Event, Value
1.447,Damage taken,0.025000002
1.462,Damage taken,0.025000002
1.478,Damage taken,0.025000002
1.494,Damage taken,0.025000002
1.512,Damage taken,0.025000002
1.528,Damage taken,0.025000002
1.545,Damage taken,0.025000002
1.561,Damage taken,0.025000002
1.578,Damage taken,0.025000002
1.594,Damage taken,0.025000002
1.612,Damage taken,0.025000002
1.628,Damage taken,0.025000002
1.645,Damage taken,0.025000002
1.662,Damage taken,0.025000002
1.678,Damage taken,0.025000002
1.695,Damage taken,0.025000002
1.712,Damage taken,0.025000002
1.712,Accelerate,1
1.728,Damage taken,0.025000002
1.728,Accelerate,1
1.746,Damage taken,0.025000002
1.746,Accelerate,1
1.762,Damage taken,0.025000002
1.762,Accelerate,1
1.779,Damage taken,0.025000002
1.780,Accelerate,1
1.795,Damage taken,0.025000002
1.795,Accelerate,1
1.811,Damage taken,0.025000002
1.811,Accelerate,1
1.829,Damage taken,0.025000002
1.829,Accelerate,1
1.845,Damage taken,0.025000002
1.845,Accelerate,1
1.861,Damage taken,0.025000002
1.861,Accelerate,1
1.878,Damage taken,0.025000002
1.878,Accelerate,1
1.895,Damage taken,0.025000002
1.895,Accelerate,1
1.911,Damage taken,0.025000002
1.911,Accelerate,1
1.928,Damage taken,0.025000002
1.928,Accelerate,1
1.945,Damage taken,0.025000002
1.945,Accelerate,1
1.962,Damage taken,0.025000002
1.962,Accelerate,1
1.978,Damage taken,0.025000002
1.978,Accelerate,1
1.994,Damage taken,0.025000002
1.994,Accelerate,1
2.012,Damage taken,0.025000002
2.012,Accelerate,1
2.029,Damage taken,0.025000002
2.029,Accelerate,1
2.045,Damage taken,0.025000002
2.045,Accelerate,1
2.061,Damage taken,0.025000002
2.062,Accelerate,1
2.078,Damage taken,0.025000002
2.078,Accelerate,1
2.095,Damage taken,0.025000002
2.095,Accelerate,1
2.112,Damage taken,0.025000002
2.112,Accelerate,1
2.128,Damage taken,0.025000002
2.128,Accelerate,1
2.145,Damage taken,0.025000002
2.145,Accelerate,1
2.161,Damage taken,0.025000002
2.161,Accelerate,1
2.179,Damage taken,0.025000002
2.179,Accelerate,1
2.195,Damage taken,0.025000002
2.195,Accelerate,1
2.211,Damage taken,0.025000002
2.212,Accelerate,1
2.228,Damage taken,0.025000002
2.228,Accelerate,1
2.245,Damage taken,0.025000002
2.245,Accelerate,1
2.262,Damage taken,0.025000002
2.262,Accelerate,1
2.278,Damage taken,0.025000002
