Timestamp, Event, Value
0,201,Enemy killed,1
0,409,Enemy killed,1
0,618,Enemy killed,1
0,819,Enemy killed,1
1,014,Enemy killed,1
1,216,Enemy killed,1
1,417,Enemy killed,1
1,618,Enemy killed,1
1,827,Enemy killed,1
2,028,Enemy killed,1
2,233,Enemy killed,1
2,445,Enemy killed,1
2,670,Enemy killed,1
2,881,Enemy killed,1
3,099,Enemy killed,1
3,316,Enemy killed,1
3,550,Enemy killed,1
3,783,Enemy killed,1
3,999,Enemy killed,1
4,197,Enemy killed,1
4,401,Enemy killed,1
4,627,Enemy killed,1
4,643,Enemy killed,1
4,712,Enemy killed,1
5,317,Turn Left,1
5,318,Accelerate,1
5,378,Turn Left,1
5,378,Accelerate,1
5,436,Turn Right,1
5,436,Accelerate,1
5,493,Turn Right,1
5,493,Accelerate,1
5,545,Turn Right,1
5,545,Accelerate,1
5,600,Accelerate,1
5,654,Accelerate,1
5,704,Accelerate,1
5,756,Accelerate,1
5,804,Turn Left,1
5,804,Accelerate,1
5,854,Turn Left,1
5,854,Accelerate,1
5,898,Turn Left,1
5,898,Accelerate,1
5,943,Turn Left,1
5,943,Accelerate,1
5,988,Turn Left,1
5,988,Accelerate,1
6,032,Accelerate,1
6,075,Accelerate,1
6,114,Accelerate,1
6,234,Bullet Fired,1
6,309,Bullet Fired,1
6,414,Bullet Fired,1
6,512,Bullet Fired,1
6,606,Bullet Fired,1
6,719,Bullet Fired,1
6,825,Accelerate,1
6,847,Accelerate,1
6,874,Accelerate,1
6,897,Accelerate,1
6,919,Accelerate,1
6,943,Accelerate,1
6,964,Accelerate,1
6,986,Accelerate,1
7,009,Accelerate,1
7,029,Accelerate,1
7,051,Accelerate,1
7,071,Accelerate,1
7,090,Accelerate,1
7,110,Accelerate,1
7,130,Accelerate,1
7,148,Accelerate,1
7,165,Accelerate,1
7,184,Accelerate,1
7,202,Accelerate,1
7,224,Accelerate,1
7,236,Accelerate,1
7,251,Accelerate,1
7,269,Accelerate,1
7,286,Accelerate,1
7,303,Accelerate,1
7,319,Accelerate,1
7,334,Accelerate,1
7,352,Accelerate,1
7,363,Accelerate,1
7,378,Accelerate,1
7,392,Accelerate,1
7,407,Accelerate,1
7,421,Accelerate,1
7,436,Accelerate,1
7,454,Accelerate,1
7,471,Accelerate,1
7,487,Accelerate,1
7,504,Accelerate,1
7,521,Turn Left,1
7,521,Accelerate,1
7,537,Turn Left,1
7,538,Accelerate,1
7,553,Turn Left,1
7,553,Accelerate,1
7,571,Turn Left,1
7,571,Accelerate,1
7,587,Turn Left,1
7,587,Accelerate,1
7,604,Bullet Missed,1
7,605,Accelerate,1
7,619,Accelerate,1
7,636,Accelerate,1
7,654,Accelerate,1
7,671,Accelerate,1
7,687,Accelerate,1
7,705,Accelerate,1
7,719,Accelerate,1
7,736,Accelerate,1
7,755,Accelerate,1
7,769,Bullet Missed,1
7,771,Accelerate,1
7,787,Accelerate,1
7,803,Accelerate,1
7,820,Accelerate,1
7,837,Accelerate,1
7,853,Accelerate,1
7,869,Accelerate,1
7,886,Accelerate,1
7,903,Accelerate,1
7,920,Accelerate,1
7,936,Accelerate,1
7,955,Accelerate,1
7,969,Accelerate,1
7,986,Bullet Missed,1
7,987,Accelerate,1
8,003,Accelerate,1
8,020,Accelerate,1
8,038,Accelerate,1
8,052,Accelerate,1
8,070,Accelerate,1
8,087,Accelerate,1
8,104,Accelerate,1
8,121,Accelerate,1
8,136,Accelerate,1
8,154,Accelerate,1
8,170,Accelerate,1
8,187,Accelerate,1
8,202,Bullet Missed,1
8,204,Accelerate,1
8,221,Accelerate,1
8,237,Accelerate,1
8,254,Accelerate,1
8,271,Accelerate,1
8,286,Accelerate,1
8,304,Accelerate,1
8,320,Accelerate,1
8,336,Accelerate,1
8,353,Accelerate,1
8,370,Accelerate,1
8,388,Accelerate,1
8,405,Accelerate,1
8,420,Accelerate,1
8,437,Accelerate,1
8,453,Bullet Missed,1
8,454,Accelerate,1
8,470,Accelerate,1
8,487,Accelerate,1
8,504,Accelerate,1
8,521,Accelerate,1
8,538,Accelerate,1
8,554,Accelerate,1
8,571,Accelerate,1
8,587,Accelerate,1
8,604,Accelerate,1
8,621,Accelerate,1
8,638,Turn Left,1
8,638,Accelerate,1
8,654,Turn Left,1
8,654,Accelerate,1
8,670,Turn Left,1
8,670,Accelerate,1
8,687,Turn Left,1
8,687,Accelerate,1
8,703,Turn Left,1
8,703,Accelerate,1
8,721,Bullet Missed,1
8,722,Turn Left,1
8,722,Accelerate,1
8,737,Turn Left,1
8,737,Accelerate,1
8,755,Turn Left,1
8,755,Accelerate,1
8,771,Turn Left,1
8,771,Accelerate,1
8,786,Turn Left,1
8,786,Accelerate,1
8,803,Turn Left,1
8,803,Accelerate,1
8,819,Turn Left,1
8,819,Accelerate,1
8,836,Turn Left,1
8,836,Accelerate,1
8,853,Turn Left,1
8,853,Accelerate,1
8,871,Accelerate,1
8,887,Accelerate,1
8,903,Accelerate,1
8,920,Accelerate,1
8,937,Accelerate,1
8,953,Accelerate,1
8,970,Accelerate,1
8,987,Accelerate,1
9,004,Accelerate,1
9,020,Accelerate,1
9,038,Accelerate,1
9,053,Accelerate,1
9,071,Accelerate,1
9,087,Accelerate,1
9,103,Accelerate,1
9,120,Accelerate,1
9,137,Accelerate,1
9,153,Turn Right,1
9,153,Accelerate,1
9,170,Turn Right,1
9,170,Accelerate,1
9,187,Turn Right,1
9,187,Accelerate,1
9,204,Turn Right,1
9,204,Accelerate,1
9,220,Turn Right,1
9,220,Accelerate,1
9,238,Turn Right,1
9,238,Accelerate,1
9,254,Turn Right,1
9,254,Accelerate,1
9,271,Turn Right,1
9,271,Accelerate,1
9,288,Turn Right,1
9,288,Accelerate,1
9,304,Turn Right,1
9,304,Accelerate,1
9,321,Turn Right,1
9,321,Accelerate,1
9,336,Turn Right,1
9,337,Accelerate,1
9,353,Accelerate,1
