Timestamp, Event, Value
4,272,Accelerate,1
4,288,Turn Left,1
4,288,Accelerate,1
4,305,Turn Left,1
4,305,Accelerate,1
4,321,Turn Left,1
4,321,Accelerate,1
4,339,Turn Left,1
4,339,Accelerate,1
4,355,Turn Left,1
4,356,Accelerate,1
4,372,Turn Left,1
4,372,Accelerate,1
4,388,Turn Left,1
4,388,Accelerate,1
4,406,Turn Left,1
4,406,Accelerate,1
4,422,Turn Left,1
4,422,Accelerate,1
4,439,Turn Left,1
4,440,Accelerate,1
4,455,Turn Left,1
4,455,Accelerate,1
4,471,Turn Left,1
4,471,Accelerate,1
4,488,Turn Left,1
4,488,Accelerate,1
4,505,Turn Left,1
4,505,Accelerate,1
4,522,Accelerate,1
4,539,Accelerate,1
4,555,Accelerate,1
4,572,Accelerate,1
4,590,Bullet Fired,1
4,590,Accelerate,1
4,605,Accelerate,1
4,622,Accelerate,1
4,638,Accelerate,1
4,655,Accelerate,1
4,672,Accelerate,1
4,690,Bullet Fired,1
4,690,Accelerate,1
4,705,Accelerate,1
4,722,Accelerate,1
4,739,Accelerate,1
4,755,Accelerate,1
4,772,Accelerate,1
4,789,Bullet Fired,1
4,789,Accelerate,1
4,806,Accelerate,1
4,822,Accelerate,1
4,838,Accelerate,1
4,857,Accelerate,1
4,873,Accelerate,1
4,890,Bullet Fired,1
4,890,Accelerate,1
4,906,Accelerate,1
4,921,Accelerate,1
4,938,Accelerate,1
4,955,Accelerate,1
4,972,Accelerate,1
4,989,Bullet Fired,1
4,990,Accelerate,1
5,005,Accelerate,1
5,023,Accelerate,1
5,039,Accelerate,1
5,056,Turn Left,1
5,056,Accelerate,1
5,072,Turn Left,1
5,072,Accelerate,1
5,089,Turn Left,1
5,089,Accelerate,1
5,105,Turn Left,1
5,105,Accelerate,1
5,121,Turn Left,1
5,122,Accelerate,1
5,139,Turn Left,1
5,139,Accelerate,1
5,156,Turn Left,1
5,156,Accelerate,1
5,172,Turn Left,1
5,172,Accelerate,1
5,189,Turn Left,1
5,189,Accelerate,1
5,205,Turn Left,1
5,205,Accelerate,1
5,223,Turn Left,1
5,223,Accelerate,1
5,240,Turn Left,1
5,240,Accelerate,1
5,256,Turn Left,1
5,256,Accelerate,1
5,272,Turn Left,1
5,272,Accelerate,1
5,289,Turn Left,1
5,289,Accelerate,1
5,305,Turn Left,1
5,305,Accelerate,1
5,322,Turn Left,1
5,322,Accelerate,1
5,339,Turn Left,1
5,339,Accelerate,1
5,356,Accelerate,1
5,372,Accelerate,1
5,389,Accelerate,1
5,406,Accelerate,1
5,425,Accelerate,1
5,440,Accelerate,1
5,455,Accelerate,1
5,472,Accelerate,1
5,489,Accelerate,1
5,505,Accelerate,1
5,522,Accelerate,1
5,541,Accelerate,1
5,555,Accelerate,1
5,572,Accelerate,1
5,589,Accelerate,1
5,606,Accelerate,1
5,622,Accelerate,1
5,639,Accelerate,1
5,655,Turn Right,1
5,655,Accelerate,1
5,672,Turn Right,1
5,672,Accelerate,1
5,689,Turn Right,1
5,689,Accelerate,1
5,705,Turn Right,1
5,705,Accelerate,1
5,722,Turn Right,1
5,722,Accelerate,1
5,739,Turn Right,1
5,739,Accelerate,1
5,756,Turn Right,1
5,756,Accelerate,1
5,773,Turn Right,1
5,773,Accelerate,1
5,789,Turn Right,1
5,789,Accelerate,1
5,807,Turn Right,1
5,807,Accelerate,1
5,821,Turn Right,1
5,822,Accelerate,1
5,839,Turn Right,1
5,839,Accelerate,1
5,855,Turn Right,1
5,855,Accelerate,1
5,872,Turn Right,1
5,872,Accelerate,1
5,889,Turn Right,1
5,889,Accelerate,1
5,907,Turn Right,1
5,908,Accelerate,1
5,924,Turn Right,1
5,924,Accelerate,1
5,939,Turn Right,1
5,939,Accelerate,1
5,956,Bullet Missed,1
5,957,Turn Right,1
5,957,Accelerate,1
5,972,Turn Right,1
5,972,Accelerate,1
5,989,Turn Right,1
5,989,Accelerate,1
6,006,Bullet Missed,1
6,006,Turn Right,1
6,006,Accelerate,1
6,023,Turn Right,1
6,023,Accelerate,1
6,040,Bullet Fired,1
6,040,Turn Right,1
6,040,Accelerate,1
6,055,Bullet Missed,1
6,055,Turn Right,1
6,055,Accelerate,1
6,072,Turn Right,1
6,072,Accelerate,1
6,089,Turn Right,1
6,089,Accelerate,1
6,106,Turn Right,1
6,106,Accelerate,1
6,122,Turn Right,1
6,122,Accelerate,1
