Timestamp, Event, Value
9,313,Accelerate,1
9,329,Turn Left,1
9,329,Accelerate,1
9,346,Turn Left,1
9,347,Accelerate,1
9,361,Turn Left,1
9,361,Accelerate,1
9,379,Turn Left,1
9,379,Accelerate,1
9,397,Accelerate,1
9,412,Accelerate,1
9,429,Accelerate,1
9,446,Accelerate,1
9,463,Accelerate,1
9,480,Accelerate,1
9,495,Accelerate,1
9,512,Accelerate,1
9,529,Accelerate,1
9,545,Accelerate,1
9,562,Accelerate,1
9,579,Accelerate,1
9,596,Accelerate,1
9,612,Accelerate,1
9,629,Accelerate,1
9,647,Accelerate,1
9,662,Accelerate,1
9,679,Accelerate,1
9,695,Accelerate,1
9,712,Accelerate,1
9,729,Accelerate,1
9,746,Accelerate,1
9,762,Accelerate,1
9,778,Accelerate,1
9,797,Accelerate,1
9,812,Accelerate,1
9,829,Accelerate,1
9,846,Accelerate,1
9,863,Accelerate,1
9,878,Accelerate,1
9,896,Accelerate,1
9,912,Accelerate,1
9,929,Accelerate,1
9,945,Accelerate,1
9,963,Accelerate,1
9,979,Accelerate,1
9,996,Accelerate,1
10,012,Accelerate,1
10,029,Accelerate,1
10,047,Accelerate,1
10,062,Accelerate,1
10,079,Accelerate,1
10,095,Accelerate,1
10,113,Accelerate,1
10,128,Accelerate,1
10,147,Accelerate,1
10,162,Accelerate,1
10,179,Accelerate,1
10,197,Accelerate,1
10,213,Accelerate,1
10,230,Accelerate,1
10,245,Accelerate,1
10,262,Accelerate,1
10,280,Accelerate,1
10,297,Accelerate,1
10,312,Accelerate,1
10,329,Accelerate,1
10,345,Accelerate,1
10,362,Accelerate,1
10,379,Accelerate,1
10,396,Accelerate,1
10,413,Accelerate,1
10,429,Accelerate,1
10,446,Accelerate,1
10,462,Accelerate,1
10,479,Accelerate,1
10,495,Accelerate,1
10,512,Accelerate,1
10,529,Enemy killed,1
10,530,Accelerate,1
10,545,Accelerate,1
10,562,Accelerate,1
10,579,Accelerate,1
10,597,Accelerate,1
10,612,Accelerate,1
10,629,Accelerate,1
10,647,Accelerate,1
10,663,Turn Right,1
10,663,Accelerate,1
10,679,Turn Right,1
10,679,Accelerate,1
10,695,Turn Right,1
10,695,Accelerate,1
10,712,Turn Right,1
10,712,Accelerate,1
10,729,Turn Right,1
10,729,Accelerate,1
10,745,Turn Right,1
10,745,Accelerate,1
10,763,Turn Right,1
10,763,Accelerate,1
10,782,Turn Right,1
10,782,Accelerate,1
10,795,Turn Right,1
10,795,Accelerate,1
10,813,Turn Right,1
10,813,Accelerate,1
10,828,Turn Right,1
10,829,Accelerate,1
10,847,Turn Right,1
10,847,Accelerate,1
10,862,Turn Right,1
10,863,Accelerate,1
10,878,Turn Right,1
10,878,Accelerate,1
10,897,Turn Right,1
10,897,Accelerate,1
10,913,Turn Right,1
10,913,Accelerate,1
10,929,Turn Right,1
10,929,Accelerate,1
10,945,Turn Right,1
10,945,Accelerate,1
10,962,Turn Right,1
10,962,Accelerate,1
10,979,Turn Right,1
10,979,Accelerate,1
10,996,Turn Right,1
10,996,Accelerate,1
11,013,Turn Right,1
11,013,Accelerate,1
11,029,Turn Right,1
11,029,Accelerate,1
11,047,Turn Right,1
11,047,Accelerate,1
11,062,Turn Right,1
11,062,Accelerate,1
11,079,Turn Right,1
11,079,Accelerate,1
11,096,Turn Right,1
11,096,Accelerate,1
11,112,Turn Right,1
11,112,Accelerate,1
11,129,Turn Right,1
11,129,Accelerate,1
11,147,Turn Right,1
11,147,Accelerate,1
11,162,Turn Right,1
11,162,Accelerate,1
11,179,Turn Right,1
11,179,Accelerate,1
11,195,Turn Right,1
11,195,Accelerate,1
