Timestamp, Event, Value
6,155,Accelerate,1
6,172,Accelerate,1
6,187,Accelerate,1
6,204,Accelerate,1
6,220,Accelerate,1
6,238,Accelerate,1
6,254,Turn Left,1
6,254,Accelerate,1
6,273,Turn Left,1
6,287,Turn Left,1
6,304,Turn Left,1
6,323,Turn Left,1
6,338,Turn Left,1
6,355,Turn Left,1
6,370,Turn Left,1
6,388,Turn Left,1
6,404,Turn Left,1
6,421,Turn Left,1
6,505,Turn Left,1
6,521,Turn Left,1
6,538,Accelerate,1
6,555,Accelerate,1
6,571,Accelerate,1
6,588,Accelerate,1
6,707,Bullet Fired,1
6,805,Bullet Fired,1
6,873,Accelerate,1
6,887,Accelerate,1
6,905,Bullet Fired,1
6,905,Accelerate,1
6,921,Accelerate,1
6,937,Accelerate,1
6,955,Accelerate,1
6,971,Accelerate,1
6,988,Accelerate,1
7,004,Accelerate,1
7,020,Accelerate,1
7,074,Turn Left,1
7,088,Turn Left,1
7,105,Turn Left,1
7,105,Accelerate,1
7,125,Turn Left,1
7,125,Accelerate,1
7,137,Turn Left,1
7,137,Accelerate,1
7,154,Turn Left,1
7,155,Accelerate,1
7,171,Turn Left,1
7,171,Accelerate,1
7,188,Accelerate,1
7,204,Accelerate,1
7,222,Accelerate,1
7,238,Accelerate,1
7,255,Accelerate,1
7,271,Accelerate,1
7,288,Accelerate,1
7,304,Accelerate,1
7,321,Accelerate,1
7,338,Accelerate,1
7,355,Accelerate,1
7,371,Accelerate,1
7,388,Accelerate,1
7,405,Accelerate,1
7,420,Accelerate,1
7,437,Accelerate,1
7,455,Accelerate,1
7,472,Accelerate,1
7,488,Accelerate,1
7,504,Accelerate,1
7,520,Accelerate,1
7,538,Accelerate,1
7,554,Accelerate,1
7,571,Accelerate,1
7,588,Accelerate,1
7,605,Accelerate,1
7,621,Accelerate,1
7,637,Accelerate,1
7,654,Accelerate,1
7,671,Turn Right,1
7,671,Accelerate,1
7,687,Turn Right,1
7,687,Accelerate,1
7,705,Turn Right,1
7,705,Accelerate,1
7,722,Turn Right,1
7,722,Accelerate,1
7,737,Turn Right,1
7,737,Accelerate,1
7,754,Turn Right,1
7,754,Accelerate,1
7,770,Turn Right,1
7,770,Accelerate,1
7,787,Turn Right,1
7,787,Accelerate,1
7,805,Turn Right,1
7,805,Accelerate,1
7,821,Turn Right,1
7,821,Accelerate,1
7,839,Turn Right,1
7,854,Turn Right,1
7,873,Turn Right,1
7,887,Turn Right,1
7,904,Turn Right,1
7,921,Turn Right,1
7,937,Turn Right,1
7,954,Turn Right,1
7,971,Turn Right,1
7,988,Turn Right,1
8,005,Turn Right,1
8,023,Turn Right,1
8,038,Turn Right,1
8,054,Turn Right,1
8,071,Turn Right,1
8,087,Turn Right,1
8,104,Turn Right,1
8,122,Turn Right,1
8,138,Turn Right,1
8,154,Turn Right,1
8,171,Turn Right,1
8,187,Turn Right,1
8,204,Turn Right,1
8,221,Turn Right,1
8,238,Turn Right,1
8,288,Bullet Missed,1
8,388,Accelerate,1
8,404,Accelerate,1
8,421,Accelerate,1
8,438,Accelerate,1
8,454,Bullet Missed,1
8,455,Accelerate,1
8,471,Accelerate,1
8,488,Accelerate,1
8,505,Accelerate,1
8,521,Turn Left,1
8,521,Accelerate,1
8,538,Turn Left,1
8,538,Accelerate,1
8,555,Bullet Missed,1
8,556,Turn Left,1
8,556,Accelerate,1
8,571,Turn Left,1
8,572,Accelerate,1
8,587,Turn Left,1
8,587,Accelerate,1
8,606,Turn Left,1
8,621,Turn Left,1
8,637,Turn Left,1
8,654,Turn Left,1
8,671,Turn Left,1
8,722,Bullet Fired,1
8,821,Bullet Fired,1
9,089,Bullet Fired,1
9,189,Bullet Fired,1
9,287,Bullet Fired,1
9,388,Enemy hit,183
9,391,Bullet Fired,1
9,488,Bullet Fired,1
9,555,Accelerate,1
9,571,Accelerate,1
9,587,Accelerate,1
9,605,Turn Left,1
9,605,Accelerate,1
9,622,Turn Left,1
9,622,Accelerate,1
9,638,Turn Left,1
9,638,Accelerate,1
9,655,Turn Left,1
9,655,Accelerate,1
9,670,Turn Left,1
9,670,Accelerate,1
9,687,Turn Left,1
9,687,Accelerate,1
9,704,Turn Left,1
9,704,Accelerate,1
9,721,Turn Left,1
9,722,Accelerate,1
9,738,Turn Left,1
9,738,Accelerate,1
9,755,Turn Left,1
9,755,Accelerate,1
9,772,Turn Left,1
9,772,Accelerate,1
9,787,Turn Left,1
9,787,Accelerate,1
9,804,Turn Left,1
9,804,Accelerate,1
9,820,Turn Left,1
9,820,Accelerate,1
9,838,Turn Left,1
9,838,Accelerate,1
9,854,Turn Left,1
9,855,Accelerate,1
9,871,Turn Left,1
9,871,Accelerate,1
9,888,Turn Left,1
9,888,Accelerate,1
9,904,Turn Left,1
9,905,Accelerate,1
9,921,Turn Left,1
9,921,Accelerate,1
9,939,Accelerate,1
9,956,Bullet Fired,1
9,956,Accelerate,1
9,971,Accelerate,1
9,988,Accelerate,1
10,056,Bullet Fired,1
10,156,Bullet Fired,1
10,339,Accelerate,1
10,355,Accelerate,1
10,371,Accelerate,1
10,388,Accelerate,1
10,404,Accelerate,1
10,421,Accelerate,1
10,437,Accelerate,1
10,455,Accelerate,1
10,471,Accelerate,1
10,488,Turn Right,1
10,488,Accelerate,1
10,504,Turn Right,1
10,504,Accelerate,1
10,523,Turn Right,1
10,523,Accelerate,1
10,538,Turn Right,1
10,538,Accelerate,1
10,554,Turn Right,1
10,556,Accelerate,1
10,572,Turn Right,1
10,573,Accelerate,1
10,587,Turn Right,1
10,587,Accelerate,1
10,604,Turn Right,1
10,605,Accelerate,1
10,621,Turn Right,1
10,621,Accelerate,1
10,638,Turn Right,1
10,638,Accelerate,1
10,654,Turn Right,1
10,654,Accelerate,1
10,671,Turn Right,1
10,671,Accelerate,1
10,688,Turn Right,1
10,688,Accelerate,1
10,704,Turn Right,1
10,704,Accelerate,1
10,721,Turn Right,1
10,721,Accelerate,1
10,737,Turn Right,1
10,737,Accelerate,1
10,754,Turn Right,1
10,754,Accelerate,1
10,770,Turn Right,1
10,771,Accelerate,1
10,789,Turn Right,1
10,789,Accelerate,1
10,804,Turn Right,1
10,805,Accelerate,1
10,821,Turn Right,1
10,821,Accelerate,1
10,838,Turn Right,1
10,838,Accelerate,1
10,855,Turn Right,1
10,855,Accelerate,1
10,870,Turn Right,1
10,870,Accelerate,1
10,888,Turn Right,1
10,888,Accelerate,1
10,905,Turn Right,1
10,905,Accelerate,1
10,921,Turn Right,1
10,921,Accelerate,1
10,938,Turn Right,1
10,938,Accelerate,1
10,955,Turn Right,1
10,955,Accelerate,1
10,971,Turn Right,1
10,971,Accelerate,1
10,988,Turn Right,1
10,988,Accelerate,1
11,004,Turn Right,1
11,004,Accelerate,1
11,022,Turn Right,1
11,022,Accelerate,1
11,038,Turn Right,1
11,038,Accelerate,1
11,054,Turn Right,1
11,054,Accelerate,1
11,071,Turn Right,1
11,071,Accelerate,1
11,088,Accelerate,1
11,104,Accelerate,1
11,121,Accelerate,1
11,138,Accelerate,1
11,155,Accelerate,1
11,171,Accelerate,1
11,188,Accelerate,1
11,204,Accelerate,1
11,221,Accelerate,1
11,238,Accelerate,1
11,254,Accelerate,1
11,270,Accelerate,1
11,288,Accelerate,1
11,304,Accelerate,1
11,321,Accelerate,1
11,338,Accelerate,1
11,354,Accelerate,1
11,372,Turn Left,1
11,372,Accelerate,1
11,388,Turn Left,1
11,388,Accelerate,1
11,404,Bullet Missed,1
11,405,Turn Left,1
11,405,Accelerate,1
11,421,Turn Left,1
11,421,Accelerate,1
11,438,Turn Left,1
11,438,Accelerate,1
11,454,Turn Left,1
11,454,Accelerate,1
11,471,Bullet Missed,1
11,471,Turn Left,1
11,471,Accelerate,1
11,487,Bullet Missed,1
11,488,Turn Left,1
11,488,Accelerate,1
11,504,Turn Left,1
11,504,Accelerate,1
11,521,Turn Left,1
11,521,Accelerate,1
11,538,Turn Left,1
11,538,Accelerate,1
11,554,Turn Left,1
11,554,Accelerate,1
11,571,Accelerate,1
11,587,Bullet Missed,1
11,588,Accelerate,1
11,604,Accelerate,1
11,621,Accelerate,1
11,637,Accelerate,1
11,654,Bullet Missed,1
11,655,Accelerate,1
11,671,Accelerate,1
11,687,Accelerate,1
11,705,Accelerate,1
11,721,Accelerate,1
11,737,Accelerate,1
11,754,Accelerate,1
11,771,Accelerate,1
11,788,Accelerate,1
11,804,Accelerate,1
11,821,Accelerate,1
11,838,Accelerate,1
11,855,Accelerate,1
11,871,Accelerate,1
11,887,Accelerate,1
11,905,Accelerate,1
11,920,Accelerate,1
11,938,Accelerate,1
11,955,Accelerate,1
11,971,Accelerate,1
11,988,Accelerate,1
12,004,Accelerate,1
12,020,Accelerate,1
12,038,Accelerate,1
12,055,Accelerate,1
12,070,Bullet Missed,1
12,071,Accelerate,1
12,088,Turn Left,1
12,088,Accelerate,1
12,104,Turn Left,1
12,104,Accelerate,1
12,121,Turn Left,1
12,121,Accelerate,1
12,137,Turn Left,1
12,138,Accelerate,1
12,155,Turn Left,1
12,155,Accelerate,1
12,171,Turn Left,1
12,171,Accelerate,1
12,187,Turn Left,1
12,187,Accelerate,1
12,205,Turn Left,1
12,205,Accelerate,1
12,222,Turn Left,1
12,222,Accelerate,1
12,237,Turn Left,1
12,237,Accelerate,1
12,254,Turn Left,1
12,254,Accelerate,1
12,270,Turn Left,1
12,271,Accelerate,1
12,288,Turn Left,1
12,288,Accelerate,1
12,304,Turn Left,1
12,304,Accelerate,1
12,323,Accelerate,1
12,337,Accelerate,1
12,355,Accelerate,1
12,371,Accelerate,1
12,387,Accelerate,1
12,404,Bullet Missed,1
12,404,Accelerate,1
12,420,Accelerate,1
12,438,Accelerate,1
12,454,Accelerate,1
12,471,Accelerate,1
12,488,Accelerate,1
12,504,Accelerate,1
12,520,Accelerate,1
12,537,Accelerate,1
12,554,Bullet Missed,1
12,555,Accelerate,1
12,571,Accelerate,1
12,586,Accelerate,1
12,603,Accelerate,1
12,621,Accelerate,1
12,637,Accelerate,1
12,653,Accelerate,1
12,671,Accelerate,1
12,688,Accelerate,1
12,704,Bullet Missed,1
12,705,Accelerate,1
12,721,Turn Left,1
12,721,Accelerate,1
12,738,Turn Left,1
12,738,Accelerate,1
12,754,Turn Left,1
12,754,Accelerate,1
12,771,Turn Left,1
12,771,Accelerate,1
12,788,Turn Left,1
12,788,Accelerate,1
12,804,Turn Left,1
12,805,Accelerate,1
12,820,Turn Left,1
12,820,Accelerate,1
12,838,Turn Left,1
12,838,Accelerate,1
12,853,Turn Left,1
12,853,Accelerate,1
12,871,Turn Left,1
12,871,Accelerate,1
12,888,Turn Left,1
12,888,Accelerate,1
12,904,Turn Left,1
12,904,Accelerate,1
12,921,Turn Left,1
12,921,Accelerate,1
12,938,Damage taken,1
12,939,Turn Left,1
12,939,Accelerate,1
12,954,Turn Left,1
12,954,Accelerate,1
12,970,Turn Left,1
12,970,Accelerate,1
12,987,Turn Left,1
12,987,Accelerate,1
13,004,Turn Left,1
13,005,Accelerate,1
13,020,Turn Left,1
13,020,Accelerate,1
13,037,Turn Left,1
13,038,Accelerate,1
13,055,Turn Left,1
13,055,Accelerate,1
13,071,Turn Left,1
13,071,Accelerate,1
13,088,Turn Left,1
13,088,Accelerate,1
13,105,Accelerate,1
13,122,Accelerate,1
13,137,Accelerate,1
13,154,Accelerate,1
13,170,Accelerate,1
13,188,Accelerate,1
13,204,Accelerate,1
13,220,Accelerate,1
13,238,Accelerate,1
13,254,Accelerate,1
13,270,Accelerate,1
13,287,Accelerate,1
13,305,Accelerate,1
13,321,Accelerate,1
13,337,Accelerate,1
13,354,Accelerate,1
13,371,Accelerate,1
13,388,Accelerate,1
13,404,Accelerate,1
13,420,Accelerate,1
13,437,Accelerate,1
13,454,Accelerate,1
13,470,Accelerate,1
13,487,Accelerate,1
13,505,Accelerate,1
13,521,Accelerate,1
13,538,Accelerate,1
13,554,Accelerate,1
13,571,Accelerate,1
13,587,Accelerate,1
13,604,Accelerate,1
13,621,Accelerate,1
13,638,Accelerate,1
13,654,Accelerate,1
13,671,Accelerate,1
13,687,Accelerate,1
13,704,Accelerate,1
13,720,Accelerate,1
13,738,Accelerate,1
13,754,Accelerate,1
13,772,Accelerate,1
13,787,Accelerate,1
13,804,Accelerate,1
13,821,Accelerate,1
13,837,Accelerate,1
13,855,Turn Left,1
13,855,Accelerate,1
13,870,Turn Left,1
13,870,Accelerate,1
13,887,Turn Left,1
13,887,Accelerate,1
13,904,Turn Left,1
13,904,Accelerate,1
13,921,Turn Left,1
13,921,Accelerate,1
13,938,Accelerate,1
13,955,Accelerate,1
13,971,Accelerate,1
13,987,Accelerate,1
14,004,Accelerate,1
14,022,Accelerate,1
14,038,Accelerate,1
14,054,Accelerate,1
14,070,Accelerate,1
14,087,Accelerate,1
14,104,Accelerate,1
14,121,Accelerate,1
14,138,Accelerate,1
14,154,Accelerate,1
14,171,Accelerate,1
14,187,Accelerate,1
14,205,Accelerate,1
14,221,Accelerate,1
14,238,Accelerate,1
14,254,Accelerate,1
14,271,Accelerate,1
14,288,Accelerate,1
14,306,Accelerate,1
14,321,Turn Right,1
14,321,Accelerate,1
14,337,Turn Right,1
14,337,Accelerate,1
14,354,Turn Right,1
14,354,Accelerate,1
14,371,Turn Right,1
14,371,Accelerate,1
14,388,Turn Right,1
14,388,Accelerate,1
14,405,Turn Right,1
14,405,Accelerate,1
14,420,Turn Right,1
14,420,Accelerate,1
14,437,Turn Right,1
14,437,Accelerate,1
14,454,Turn Right,1
14,455,Accelerate,1
14,470,Turn Right,1
14,470,Accelerate,1
14,488,Turn Right,1
14,504,Turn Right,1
14,520,Turn Right,1
14,538,Turn Right,1
14,554,Turn Right,1
14,570,Turn Right,1
14,588,Turn Right,1
14,604,Turn Right,1
14,621,Turn Right,1
14,637,Turn Right,1
14,654,Turn Right,1
14,671,Turn Right,1
14,686,Turn Right,1
14,705,Turn Right,1
14,855,Bullet Fired,1
14,955,Bullet Fired,1
15,054,Bullet Fired,1
15,105,Accelerate,1
15,122,Accelerate,1
15,138,Accelerate,1
15,155,Bullet Fired,1
15,155,Accelerate,1
15,171,Accelerate,1
15,188,Turn Right,1
15,188,Accelerate,1
15,205,Turn Right,1
15,221,Turn Right,1
15,237,Turn Right,1
15,255,Bullet Fired,1
15,355,Bullet Fired,1
15,455,Bullet Fired,1
15,556,Bullet Fired,1
15,655,Bullet Fired,1
15,754,Bullet Fired,1
15,854,Bullet Fired,1
15,955,Bullet Fired,1
16,021,Enemy hit,350
16,055,Bullet Fired,1
16,104,Enemy hit,333
16,106,Enemy killed,1
16,158,Enemy hit,249
16,158,Bullet Fired,1
16,241,Bullet Fired,1
16,274,Turn Left,1
16,291,Turn Left,1
16,308,Turn Left,1
16,324,Turn Left,1
16,342,Bullet Fired,1
16,342,Turn Left,1
16,358,Turn Left,1
16,374,Turn Left,1
16,391,Turn Left,1
16,408,Turn Left,1
16,425,Bullet Fired,1
16,425,Turn Left,1
16,441,Turn Left,1
16,475,Accelerate,1
16,493,Accelerate,1
16,508,Accelerate,1
16,525,Bullet Fired,1
16,525,Accelerate,1
16,541,Accelerate,1
16,557,Accelerate,1
16,574,Accelerate,1
16,591,Accelerate,1
16,607,Accelerate,1
16,625,Bullet Fired,1
16,625,Accelerate,1
16,641,Turn Right,1
16,641,Accelerate,1
16,658,Turn Right,1
16,658,Accelerate,1
16,674,Turn Right,1
16,674,Accelerate,1
16,691,Turn Right,1
16,691,Accelerate,1
16,708,Turn Right,1
16,708,Accelerate,1
16,725,Bullet Fired,1
16,725,Accelerate,1
16,742,Accelerate,1
16,758,Accelerate,1
16,774,Accelerate,1
16,791,Accelerate,1
16,808,Accelerate,1
16,825,Bullet Fired,1
16,825,Accelerate,1
16,841,Enemy hit,99
16,841,Accelerate,1
16,858,Accelerate,1
16,875,Accelerate,1
16,891,Accelerate,1
16,908,Accelerate,1
16,925,Bullet Fired,1
16,925,Accelerate,1
16,941,Accelerate,1
16,957,Accelerate,1
16,974,Accelerate,1
16,990,Accelerate,1
17,008,Accelerate,1
17,025,Bullet Fired,1
17,025,Accelerate,1
17,043,Accelerate,1
17,057,Accelerate,1
17,075,Accelerate,1
17,090,Accelerate,1
17,108,Accelerate,1
17,125,Bullet Fired,1
17,125,Accelerate,1
17,141,Accelerate,1
17,158,Accelerate,1
17,175,Accelerate,1
17,191,Accelerate,1
17,207,Accelerate,1
17,225,Bullet Fired,1
17,225,Accelerate,1
17,241,Accelerate,1
17,258,Accelerate,1
17,274,Bullet Missed,1
17,275,Accelerate,1
17,291,Accelerate,1
17,308,Accelerate,1
17,324,Bullet Fired,1
17,324,Accelerate,1
17,341,Accelerate,1
17,357,Accelerate,1
17,374,Accelerate,1
17,391,Accelerate,1
17,409,Accelerate,1
17,424,Bullet Fired,1
17,424,Accelerate,1
17,442,Accelerate,1
17,458,Accelerate,1
17,474,Accelerate,1
17,491,Accelerate,1
17,508,Accelerate,1
17,524,Bullet Fired,1
17,525,Accelerate,1
17,541,Accelerate,1
17,558,Accelerate,1
17,574,Accelerate,1
17,591,Accelerate,1
17,607,Accelerate,1
17,625,Accelerate,1
17,641,Accelerate,1
17,657,Accelerate,1
17,675,Accelerate,1
17,691,Accelerate,1
17,708,Accelerate,1
17,725,Accelerate,1
17,741,Accelerate,1
17,775,Accelerate,1
17,779,Accelerate,1
17,791,Accelerate,1
17,808,Accelerate,1
17,825,Accelerate,1
17,841,Accelerate,1
17,857,Accelerate,1
17,875,Accelerate,1
17,891,Accelerate,1
17,908,Accelerate,1
17,925,Turn Right,1
17,925,Accelerate,1
17,941,Turn Right,1
17,942,Accelerate,1
17,957,Turn Right,1
17,957,Accelerate,1
17,975,Turn Right,1
17,975,Accelerate,1
17,991,Turn Right,1
17,991,Accelerate,1
18,008,Turn Right,1
18,008,Accelerate,1
18,024,Turn Right,1
18,024,Accelerate,1
18,041,Turn Right,1
18,041,Accelerate,1
18,059,Accelerate,1
18,074,Accelerate,1
18,091,Accelerate,1
18,107,Accelerate,1
18,125,Accelerate,1
18,141,Accelerate,1
18,158,Accelerate,1
18,175,Accelerate,1
18,191,Accelerate,1
18,208,Accelerate,1
18,225,Accelerate,1
18,241,Accelerate,1
18,257,Bullet Missed,1
18,258,Accelerate,1
18,273,Accelerate,1
18,291,Accelerate,1
18,308,Accelerate,1
